단원,히라가나/가타카나,한자,품사,한국어해석
13,はじめて,初めて,부사,처음으로
1,はっきり,,부사,확실히
9,ほとんど,,부사,"거의, 대부분"
6,まず,,부사,"먼저, 우선"
11,また,,부사,또
10,まだ,,부사,아직
17,まだまだ,,부사,아직도
17,まっすぐ,,부사,곧장
14,もう,,부사,"벌써, 이미, 더"
3,もし,,부사,만약
5,もちろん,,부사,물론
1,もっと,,부사,좀 더
1,やはり/やっぱり,,부사,역시
5,ゆっくり,,부사,"천천히, 푹"
6,けれども,,접속사,그렇지만
3,しかし,,접속사,그러나
10,そして/そうして,,접속사,그리고
17,それから,,접속사,그리고
2,それで,,접속사,그래서
2,それでは/それじゃ,,접속사,그럼
9,それに,,접속사,게다가
5,だから,,접속사,그러니까
14,では/じゃ,,접속사,그럼
9,でも,,접속사,하지만
5,ところで,,접속사,그런데
13,あの,,연체사·연어,"저, 저기"
19,あんな,,연체사·연어,저런
6,いけない,,연체사·연어,"안 된다, 나쁘다"
10,この,,연체사·연어,이
7,こんな,,연체사·연어,이러한
9,その,,연체사·연어,그
14,そんな,,연체사·연어,그러한
7,どの,,연체사·연어,어느
17,どんな,,연체사·연어,어떠한
10,いいえ/いえ,,감동사,아니요
13,ううん,,감동사,아니
7,うん,,감동사,응
7,ええ,,감동사,네
12,ええと,,감동사,"음, 저"
3,さあ,,감동사,"자, 글쎄"
10,ね,,감동사,"있잖아, 응"
12,はい,,감동사,"네, 자"
11,まあ,,감동사,"어머, 그럭저럭, 뭐"
18,もしもし,,감동사,여보세요
2,～か,,조사,~까?
15,～が,,조사,"~이/가, ~이지만/인데"
1,～かも,,조사,~일지도
4,～から,,조사,"~에서/부터, ~이니까"
15,～くらい/ぐらい,,조사,~정도
17,～けど/けれど,,조사,~지만/인데
2,～し,,조사,"~하고, ~해서"
8,～しか,,조사,~밖에
9,～ずつ,,조사,~씩
14,～だけ,,조사,"~만, ~뿐"
12,～たら,,조사,"~하면, ~했더나"
12,～たり,,조사,~하거나
16,～て,,조사,"~하고/하여, ~해서"
9,～で,,조사,~이고
19,～ても,,조사,~해도
4,～と,,조사,"~와/과, ~하면, ~라고"
11,～とか,,조사,"~라든가, ~든지"
13,～な,,조사,"~구나, ~마라"
3,～ながら,,조사,~하면서
15,～など,,조사,~등
14,～なら,,조사,~이라면
10,～なんて,,조사,"~같은 것, ~하다니"
13,～に,,조사,"~에, ~에게, ~하러"
15,～ね,,조사,"~로군, ~이지"
19,～の,,조사,"~의, ~이/가, ~인"
3,～ので,,조사,~이니까
14,～のに,,조사,~인데도
6,～は,,조사,~은/는
1,～ば,,조사,~하면
16,～ばかり,,조사,"~뿐, ~만, 막~하다"
12,～へ,,조사,"~으로, ~에게"
8,～ほど,,조사,"~정도, ~만큼"
15,～まで,,조사,~까지
7,～まま,,조사,"~한 채로, ~한 대로"
12,～も,,조사,"~도, ~나"
8,～や,,조사,~랑
13,～よ,,조사,~요
9,～より,,조사,"~보다, ~로 부터"
19,～わ,,조사,"~로군, ~걸"
16,～を,,조사,~을/를
12,～う/よう,,조동사,"~하지, ~하겠지"
5,～がる,,조동사,"~하게 여기다, ~싶어하다"
13,～せる/させる,,조동사,~시키다
7,～そうだ,,조동사,"~라고 하다, ~할 것 같다"
18,～た,,조동사,~었다
1,～だ,,조동사,~이다
12,～たい,,조동사,~하고 싶다
14,～です,,조동사,~입니다
11,～ない,,조동사,~하지 않다
2,～ます,,조동사,~합니다
1,～みたいだ,,조동사,~인 것 같다
7,～ようだ,,조동사,~인 것 같다
7,～らしい,,조동사,"~인 것 같다, ~답다"
8,～れる/られる,,조동사,"~되다, ~할 수 있다, ~하시다"
6,お-,,접두어·접미어,(접두어)
12,ご-,,접두어·접미어,(접두어)
16,まい,毎,접두어·접미어,매~
11,-いん,員,접두어·접미어,(사람)-원
8,-えん,円,접두어·접미어,-엔
5,-かい,回,접두어·접미어,"~번, ~회"
7,-かい,階,접두어·접미어,~층
6,-かげつ,ヶ月,접두어·접미어,~개월
13,-かた,方,접두어·접미어,~방법
15,-がつ,月,접두어·접미어,~개월
6,-がわ,側,접두어·접미어,~편
7,-かん,間,접두어·접미어,~간
13,-かん,館,접두어·접미어,~관
6,-くん,君,접두어·접미어,"~군, ~야"
14,-こ,個,접두어·접미어,~개
10,-ご,語,접두어·접미어,~어
2,-ごろ,,접두어·접미어,~ 무렵
3,-さ,,접두어·접미어,형용사의 명사형
17,-さい,歳,접두어·접미어,~세
15,-さつ,冊,접두어·접미어,~권
6,-さん/さま,様,접두어·접미어,~씨
4,-じ,時,접두어·접미어,~시
4,-しゅう,週,접두어·접미어,~주
18,-じん/にん,人,접두어·접미어,"~인, ~명"
1,-せい,生,접두어·접미어,~생
9,-だい,台,접두어·접미어,~대
9,-たち,,접두어·접미어,~들
6,-ちゃん,,접두어·접미어,"친밀감을 나타내는 호칭, ~야"
14,-ちゅう/じゅう,中,접두어·접미어,"~중, ~내내"
7,-ど,度,접두어·접미어,"~번, ~도"
17,-にち,日,접두어·접미어,~일
12,-ねん,年,접두어·접미어,~년
14,-ばん,番,접두어·접미어,~번
10,-ひき,匹,접두어·접미어,~마리
9,-ぶ,部,접두어·접미어,~부
11,-ふん,分,접두어·접미어,~분
10,-ほん,本,접두어·접미어,"~자루, ~개"
5,-まい,枚,접두어·접미어,~장/매
12,-め,目,접두어·접미어,~째
10,-めい,名,접두어·접미어,~명
19,-や,屋,접두어·접미어,~가게
